,composite_conflict_score
0,5.5
1,0.0
2,11.0
3,2.0
4,10.0
5,7.0
6,11.0
7,7.0
8,9.0
9,9.0
10,3.75
11,4.0
12,17.0
13,-5.0
14,12.75
15,7.5
16,0.75
17,13.0
18,16.0
19,11.0
20,18.0
21,7.0
22,-4.0
23,-1.0
24,10.5
25,2.0
26,-3.0
27,9.0
28,-5.0
29,10.0
30,7.0
31,13.0
32,0.0
33,8.0
34,9.0
35,4.0
36,5.25
37,8.0
38,9.0
39,4.0
40,14.0
41,-1.0
42,-3.0
43,6.0
44,4.75
45,11.0
46,10.0
47,12.0
48,21.0
49,8.0
50,10.0
51,3.0
52,-1.0
53,2.0
54,-15.0
55,7.0
56,3.0
57,6.0
58,8.0
59,1.0
60,13.0
61,13.75
62,3.0
63,-1.0
64,4.0
65,12.0
66,-2.0
67,3.0
68,3.0
69,3.0
70,1.75
71,-9.0
72,16.0
73,0.0
74,1.0
75,0.0
76,6.0
77,10.0
78,3.0
79,12.0
80,0.0
81,2.0
82,10.0
83,-11.0
84,12.0
85,10.0
86,-3.0
87,8.0
88,13.0
89,0.0
90,3.0
91,2.0
92,0.0
93,7.75
94,1.0
95,14.0
96,6.0
97,13.0
98,11.0
99,-17.0
100,-9.0
101,5.0
102,2.0
103,0.0
104,4.75
105,16.0
106,11.0
107,3.0
108,9.0
109,5.0
110,9.0
111,10.0
112,-2.0
113,4.0
114,0.0
115,6.0
116,-4.0
117,-1.0
118,11.0
119,18.0
120,13.0
121,-12.0
122,-0.5
123,-8.0
124,-1.0
125,14.0
126,6.0
127,9.0
128,4.0
129,2.0
130,5.0
131,-12.0
132,6.0
133,6.0
134,7.0
135,14.0
136,-4.0
137,6.75
138,-2.0
139,8.25
140,0.0
141,2.0
142,-7.25
143,7.75
144,15.0
145,13.0
146,11.75
147,16.0
148,3.0
149,5.0
150,1.0
151,-6.25
152,9.75
153,5.0
154,2.0
155,10.0
156,3.0
157,8.0
158,8.0
159,5.0
160,11.0
161,2.75
162,2.0
163,1.0
164,13.75
165,-4.0
166,6.0
167,-7.0
168,-10.0
169,7.0
170,-12.0
171,1.0
172,-6.0
173,17.0
174,12.0
175,-3.0
176,14.0
177,7.0
178,-12.0
179,4.0
180,11.0
181,7.0
182,9.0
183,-2.0
184,10.0
185,-2.0
186,1.0
187,5.0
188,-3.25
189,-2.0
190,9.0
191,12.0
192,9.0
193,2.0
194,2.0
195,1.0
196,7.0
197,2.0
198,-7.0
199,20.0
200,5.0
201,4.0
202,4.0
203,-4.25
204,5.0
205,6.25
206,4.0
207,-2.0
208,11.0
209,16.0
210,1.0
211,-12.5
212,4.0
213,5.0
214,9.0
215,5.0
216,1.5
217,11.0
218,15.0
219,13.0
220,14.0
221,9.75
222,9.0
223,3.0
224,9.0
225,15.0
226,11.0
227,3.0
228,-2.25
229,6.0
230,-1.25
231,-7.0
232,2.0
233,3.0
234,3.0
235,11.0
236,17.0
237,2.75
238,2.75
239,3.5
240,-9.0
241,-11.0
242,8.0
243,0.0
244,-8.5
245,6.0
246,2.5
247,-4.0
248,6.0
249,3.0
250,15.0
251,11.0
252,6.0
253,-4.0
254,-2.25
255,15.0
256,15.0
257,0.75
258,-11.0
259,9.0
260,4.0
261,0.0
262,8.0
263,3.0
264,6.75
265,14.0
266,13.0
267,-3.0
268,17.0
269,-2.0
270,16.0
271,9.0
272,6.0
273,19.0
274,6.0
275,13.0
276,-3.0
277,12.0
278,4.0
279,12.0
280,2.0
281,4.25
282,9.0
283,8.0
284,6.0
285,10.0
286,2.0
287,10.0
288,13.0
289,11.75
290,3.75
291,13.0
292,10.0
293,-7.0
294,9.0
295,12.0
296,10.0
297,9.0
298,3.0
299,13.0
300,8.5
301,13.0
302,0.75
303,12.0
304,10.0
305,-6.0
306,2.0
307,-4.25
308,-1.0
309,4.0
310,-7.0
311,10.0
312,-3.0
313,17.0
314,-6.0
315,10.0
316,16.0
317,0.0
318,7.0
319,-4.0
320,-5.0
321,6.0
322,-5.0
323,2.75
324,15.0
325,3.0
326,-3.0
327,8.0
328,9.0
329,-12.0
330,7.0
331,9.5
332,13.0
333,5.0
334,1.0
335,7.0
336,7.0
337,8.25
338,10.0
339,-1.5
340,11.75
341,1.0
342,-10.0
343,7.5
344,-1.0
345,9.0
346,10.75
347,5.5
348,10.0
349,-1.25
350,0.0
351,-3.25
352,10.0
353,-12.25
354,0.0
355,1.0
356,13.0
357,-8.0
358,13.0
359,12.0
360,0.0
361,6.0
362,4.0
363,10.0
364,1.0
365,-2.0
366,13.0
367,-8.25
368,4.0
369,14.0
370,4.0
371,2.0
372,10.0
373,12.0
374,3.0
375,16.0
376,4.0
377,4.0
378,7.0
379,14.75
380,0.0
381,12.0
382,-0.25
383,10.75
384,13.0
385,7.0
386,-2.0
387,10.0
388,17.0
389,2.0
390,9.0
391,2.75
392,2.0
393,-1.0
394,9.0
395,-5.0
396,1.25
397,-2.0
398,17.0
399,14.0
400,-10.0
401,5.0
402,15.0
403,8.0
404,11.0
405,1.0
406,14.0
407,12.0
408,6.0
409,9.0
410,13.0
411,12.0
412,4.0
413,15.0
414,1.0
415,5.75
416,8.75
417,6.0
418,8.0
419,11.0
420,9.5
421,16.0
422,2.0
423,4.0
424,2.0
425,-9.0
426,12.0
427,5.0
428,9.75
429,6.75
430,2.5
431,9.0
432,13.0
433,-6.0
434,10.0
435,7.0
436,1.0
437,1.75
438,-5.5
439,11.0
440,-13.0
441,3.0
442,15.0
443,4.0
444,15.0
445,18.0
446,14.0
447,4.0
448,6.0
449,11.0
450,6.0
451,-5.5
452,2.0
453,4.0
454,-6.25
455,-1.0
456,10.0
457,1.0
458,12.0
459,4.0
460,-4.0
461,-9.0
462,9.0
463,16.0
464,2.0
465,5.75
466,1.0
467,12.0
468,2.0
469,13.0
470,14.0
471,11.0
