,SCHID,AGEC_NEW,SCHTREAT_(0) Control school (no Roots meetings 2012-2013),SCHTREAT_(1) Treatment school (Roots meetings 2012-2013),GENDER_(0) Girl,GENDER_(1) Boy,GR_(0) 5th grade,GR_(1) 6th grade,GR_(2) 7th grade,GR_(3) 8th grade,COLL_(0) No,COLL_(1) Yes,COLL_(2) Maybe,COLL_(3) Don't know,CELL_(0) No cell phone,CELL_(1) Cell phone without Internet,CELL_(2) Cell phone with Internet,FSCH_(0) Do not go to this school,FSCH_(1) Do go to this school,TREAT_(0) Not treatment or control,TREAT_(1) Treatment,TREAT_(2) Control,Composite_Conflict_Score
18175,44,12.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23154,58,13.0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,
2684,8,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
21558,55,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
14772,36,12.0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,
3624,11,11.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,
16813,40,13.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,
5414,17,11.0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,
5218,16,11.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
22542,57,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
10563,25,12.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,
11177,27,9.0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,
22690,58,12.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
19506,49,11.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,
8136,22,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
23,1,11.0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0.0
4415,12,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,
9700,24,12.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,
9215,23,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9041,23,13.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,
17119,41,11.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,
5457,17,11.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,
13331,32,12.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,
