,0
0,18175
1,23154
2,2684
3,21558
4,14772
5,3624
6,16813
7,5414
8,5218
9,22542
10,10563
11,11177
12,22690
13,19506
14,8136
15,23
16,4415
17,9700
18,9215
19,9041
20,17119
21,5457
22,13331
23,865
24,13719
25,23669
26,6017
27,10216
28,1515
29,13738
30,9845
31,7223
32,18523
33,7699
34,19858
35,10516
36,8386
37,22071
38,2725
39,12555
40,18512
41,2704
42,13147
43,19033
44,13337
45,20605
46,21371
47,22902
48,6143
49,17379
50,2438
51,21689
52,7758
53,667
54,884
55,16794
56,17784
57,312
58,20236
59,8647
60,2713
61,24065
62,16619
63,2262
64,9208
65,5513
66,5582
67,5248
68,17051
69,20676
70,3277
71,1506
72,7464
73,19555
74,6262
75,7473
76,2965
77,15042
78,1484
79,6716
80,15274
81,6545
82,5971
83,15091
84,15382
85,7169
86,19876
87,20099
88,12313
89,6080
90,3133
91,5576
92,17014
93,8657
94,5195
95,1664
96,12328
97,24193
98,17838
99,1375
100,6319
101,15771
102,11386
103,21250
104,13409
105,10492
106,10797
107,7944
108,4223
109,11108
110,10670
111,16214
112,13678
113,12445
114,3352
115,13589
116,23680
117,21825
118,3336
119,2043
120,6250
121,21777
122,19522
123,5751
124,22026
125,14682
126,13669
127,20600
128,18209
129,9749
130,22528
131,9871
132,8663
133,23122
134,18899
135,17239
136,15482
137,9712
138,24407
139,23482
140,3185
141,11630
142,19904
143,15851
144,2497
145,9859
146,5657
147,11720
148,14619
149,12824
150,13825
151,13435
152,13723
153,9084
154,9189
155,2310
156,8476
157,18822
158,21004
159,3734
160,16817
161,20317
162,8625
163,19435
164,22939
165,8932
166,13642
167,16038
168,15353
169,2751
170,3830
171,22274
172,4771
173,18685
174,11724
175,14790
176,2228
177,21659
178,24299
179,21657
180,22192
181,6506
182,15473
183,133
184,7983
185,20729
186,19792
187,3511
188,19034
189,20123
190,10240
191,7463
192,22073
193,21279
194,9648
195,5315
196,12648
197,16814
198,12702
199,7831
200,18736
201,17898
202,22481
203,7231
204,4678
205,16068
206,12651
207,23610
208,17848
209,13084
210,20880
211,4476
212,22012
213,1222
214,21303
215,20262
216,3465
217,3657
218,2688
219,4908
220,9769
221,4152
222,6189
223,19691
224,2968
225,21518
226,86
227,11960
228,20395
229,601
230,20168
231,1443
232,5117
233,13284
234,13865
235,6219
236,19658
237,4011
238,18598
239,18510
240,19700
241,22402
242,14977
243,21517
244,23742
245,1393
246,22838
247,17424
248,11015
249,14459
250,9493
251,4778
252,6102
253,4728
254,22149
255,700
256,7064
257,3965
258,20152
259,13928
260,23618
261,18881
262,20695
263,12629
264,13817
265,8964
266,8489
267,21072
268,866
269,1890
270,17511
271,11472
272,580
273,1524
274,5700
275,8045
276,17368
277,6477
278,5015
279,15737
280,18413
281,18005
282,2883
283,17760
284,1724
285,16916
286,7681
287,12811
288,10606
289,10580
290,20292
291,3523
292,6644
293,9718
294,4920
295,12674
296,7356
297,1166
298,12310
299,23848
300,10592
301,13393
302,229
303,12822
304,12988
305,758
306,3720
307,19169
308,13159
309,21364
310,113
311,15960
312,8228
313,1133
314,23850
315,4983
316,3546
317,3376
318,3017
319,11168
320,5265
321,7695
322,19133
323,13711
324,12413
325,9809
326,8149
327,10532
328,12857
329,9863
330,155
331,22875
332,6820
333,21544
334,20690
335,22332
336,11357
337,15765
338,11829
339,4112
340,5499
341,22722
342,13774
343,11494
344,5420
345,16424
346,19067
347,4236
348,22132
349,3337
350,21205
351,5934
352,23975
353,3313
354,4635
355,6427
356,16253
357,4233
358,2578
359,2477
360,7427
361,15320
362,4586
363,6347
364,18418
365,15212
366,14568
367,9670
368,458
369,4984
370,5389
371,12198
372,8617
373,8524
374,3492
375,5763
376,3687
377,23596
378,17125
379,13415
380,4224
381,3778
382,23969
383,23780
384,9296
385,16853
386,12217
387,5522
388,16330
389,20724
390,5029
391,3605
392,15305
393,5106
394,7973
395,18697
396,4279
397,19749
398,3405
399,14800
400,16910
401,9787
402,9652
403,17409
404,17808
405,2748
406,7269
407,20842
408,19012
409,22060
410,4555
411,16581
412,23551
413,10919
414,18055
415,3479
416,11943
417,13074
418,21199
419,6221
420,5659
421,20016
422,12423
423,149
424,18447
425,5772
426,21851
427,8274
428,24077
429,4407
430,10557
431,21625
432,2399
433,15445
434,1023
435,13900
436,8304
437,11694
438,4116
439,11767
440,2010
441,19369
442,5091
443,16326
444,12663
445,9473
446,23725
447,14950
448,22181
449,1659
450,9610
451,16539
452,14773
453,9052
454,23118
455,21684
456,23569
457,6535
458,21278
459,7327
460,3756
461,3134
462,15893
463,22603
464,18738
465,5603
466,5180
467,12102
468,766
469,14916
470,19940
471,21554
472,13932
473,12561
474,23649
475,13047
476,18450
477,3309
478,5200
479,11147
480,15370
481,3825
482,1257
483,14113
484,21475
485,7389
486,19564
487,15185
488,8959
489,7302
490,9590
491,23559
492,6969
493,12003
494,8723
495,16482
496,8171
497,23881
498,13170
499,15531
500,9050
501,21485
502,7968
503,9877
504,1322
505,1995
506,6664
507,14627
508,23200
509,11426
510,7371
511,6691
512,16146
513,18387
514,220
515,3919
516,3907
517,15672
518,1309
519,6663
520,5741
521,19796
522,20265
523,8008
524,14641
525,4457
526,16229
527,2206
528,22730
529,18377
530,21059
531,2880
532,14302
533,17112
534,1951
535,20204
536,16259
537,2449
538,8675
539,1011
540,5997
541,16504
542,24347
543,11713
544,14862
545,3918
546,6899
547,22961
548,17304
549,21704
550,18745
551,11372
552,8690
553,5387
554,661
555,8042
556,21420
557,15451
558,21773
559,21866
560,1010
561,6132
562,22588
563,5423
564,20702
565,19690
566,18098
567,2332
568,23325
569,15410
570,16114
571,23177
572,24271
573,23469
574,23660
575,11122
576,9135
577,4163
578,2776
579,19833
580,194
581,9123
582,5351
583,6418
584,14867
585,14854
586,22978
